City,Average_AQI,Summer_AQI,Monsoon_AQI,Winter_AQI,Unhealthy_Days_>100,Very_Unhealthy_Days_>200,MAE,RMSE
Delhi,259.48774387193595,243.19746376811594,159.10776545166402,348.1299019607843,1826,1301,25.74233316133028,33.23093276977232
Mumbai,105.35225806451614,90.66028708133972,69.42647058823529,149.03401360544217,330,36,6.618210727747864,8.142249909650548
Chennai,114.50265392781316,112.52,109.92455858747994,119.79211956521739,938,131,27.854889702892624,35.23610759737261
Kolkata,140.56631299734747,96.06806282722513,61.45,236.5049504950495,350,198,7.503168742615897,9.451712652211492
Bengaluru,94.31832460732984,97.61363636363636,81.0256,102.99471598414796,674,44,12.00453439380704,13.68575085673359
